2025-03-03 09:27:52 - CPU Usage: %Cpu(s):  0.0 us,  2.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29212%
2025-03-03 09:27:57 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 98.1 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.27623%
2025-03-03 09:28:02 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.28558%
2025-03-03 09:28:08 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29023%
2025-03-03 09:28:13 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29336%
2025-03-03 09:28:18 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29333%
2025-03-03 09:28:23 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29799%
2025-03-03 09:28:28 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.38191%
2025-03-03 09:28:34 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.38503%
2025-03-03 09:28:39 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.38657%
2025-03-03 09:28:44 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.3912%
2025-03-03 09:28:49 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.39588%
2025-03-03 09:28:54 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.2944%
2025-03-03 09:29:00 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29905%
2025-03-03 09:29:05 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31305%
2025-03-03 09:29:10 - CPU Usage: %Cpu(s):  1.9 us,  1.0 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31456%
2025-03-03 09:29:15 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31451%
2025-03-03 09:29:20 - CPU Usage: %Cpu(s):  0.0 us,  4.3 sy,  0.0 ni, 95.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.31451%
2025-03-03 09:29:26 - CPU Usage: %Cpu(s):  0.0 us,  1.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35022%
2025-03-03 09:29:31 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35175%
2025-03-03 09:29:36 - CPU Usage: %Cpu(s):  1.0 us,  2.9 sy,  0.0 ni, 96.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35173%
2025-03-03 09:29:41 - CPU Usage: %Cpu(s):  1.9 us,  1.0 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35173%
2025-03-03 09:29:46 - CPU Usage: %Cpu(s):  0.0 us,  1.9 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35329%
2025-03-03 09:29:52 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.35327%
2025-03-03 09:29:57 - CPU Usage: %Cpu(s):  1.0 us,  1.0 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.29546%
2025-03-03 09:30:02 - CPU Usage: %Cpu(s):  1.0 us,  0.0 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.30631%
2025-03-03 09:30:07 - CPU Usage: %Cpu(s):  1.0 us,  1.9 sy,  0.0 ni, 97.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st% - Memory Usage: 3.30787%
